name,tags,data_cols,data_visits
parcels,"{'x': '-109', 'y': '-13'}","['time', 'first']","[[1618407480000, 1], [1618407600000, 1]]"
parcels,"{'x': '-109', 'y': '-130'}","['time', 'first']","[[1617084360000, 1], [1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-131'}","['time', 'first']","[[1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-132'}","['time', 'first']","[[1617311280000, 1], [1617311400000, 1], [1617311520000, 1], [1617311640000, 1]]"
parcels,"{'x': '-109', 'y': '-133'}","['time', 'first']","[[1619591160000, 1], [1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-134'}","['time', 'first']","[[1617185760000, 1], [1618658880000, 1]]"
parcels,"{'x': '-109', 'y': '-135'}","['time', 'first']","[[1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-136'}","['time', 'first']","[[1617119640000, 1]]"
parcels,"{'x': '-109', 'y': '-138'}","['time', 'first']","[[1620867480000, 1]]"
parcels,"{'x': '-109', 'y': '-14'}","['time', 'first']","[[1618546560000, 1], [1618596240000, 1], [1619059920000, 1], [1619823720000, 1], [1620416160000, 1], [1621447680000, 1]]"
parcels,"{'x': '-109', 'y': '-140'}","['time', 'first']","[[1622218320000, 1]]"
parcels,"{'x': '-109', 'y': '-142'}","['time', 'first']","[[1620097560000, 1]]"
parcels,"{'x': '-109', 'y': '-144'}","['time', 'first']","[[1619303160000, 1]]"
parcels,"{'x': '-109', 'y': '-145'}","['time', 'first']","[[1620062280000, 1]]"
parcels,"{'x': '-109', 'y': '-146'}","['time', 'first']","[[1620062280000, 1]]"
parcels,"{'x': '-109', 'y': '-147'}","['time', 'first']","[[1617246840000, 1], [1620054960000, 1]]"
parcels,"{'x': '-109', 'y': '-148'}","['time', 'first']","[[1617246840000, 1], [1617246960000, 1]]"
parcels,"{'x': '-109', 'y': '-15'}","['time', 'first']","[[1619059920000, 1]]"
parcels,"{'x': '-109', 'y': '-157'}","['time', 'first']","[[1621180200000, 1]]"
parcels,"{'x': '-109', 'y': '-158'}","['time', 'first']","[[1621180200000, 1]]"
parcels,"{'x': '-109', 'y': '-159'}","['time', 'first']","[[1621180200000, 1]]"
parcels,"{'x': '-109', 'y': '-16'}","['time', 'first']","[[1618407360000, 1]]"
parcels,"{'x': '-109', 'y': '-17'}","['time', 'first']","[[1620775200000, 1], [1621447680000, 1]]"
parcels,"{'x': '-109', 'y': '-18'}","['time', 'first']","[[1619295600000, 1]]"
parcels,"{'x': '-109', 'y': '-19'}","['time', 'first']","[[1620702480000, 1]]"
