ds,avg_passenger_count,sum_passenger_count,log_sum_passenger_count,avg_trip_distance,sum_trip_distance,log_sum_trip_distance,avg_fare_amount,sum_fare_amount,log_sum_fare_amount,avg_tip_amount,sum_tip_amount,log_sum_tip_amount
2009-3-12,1.625535332,6073.0,3.783403281,2.652352784,9909.19,3.996038156,9.869644004,36872.99,4.566708356,0.553088865,2066.34,3.315201783
2009-3-13,1.721989529,6578.0,3.818093869,2.707526178,10342.75,4.014636027,10.14094241,38738.4,4.588141679,0.591696335,2260.28,3.354162242
2009-3-14,1.824112304,6627.0,3.821316971,2.768651252,10058.51,4.002533652,9.953014038,36159.3,4.558220014,0.474682081,1724.52,3.236668235
2009-3-15,1.822948587,5354.0,3.728678367,3.042448076,8935.67,3.951127122,10.45431393,30704.32,4.487199484,0.477173987,1401.46,3.146580707
2009-3-16,1.569799449,3992.0,3.601190533,2.829925285,7196.5,3.85712133,10.04476996,25543.85,4.407286355,0.557432167,1417.55,3.151538386
2009-3-17,1.728067437,5535.0,3.743117625,2.548744927,8163.63,3.911883313,9.715329379,31118.2,4.493014468,0.494573837,1584.12,3.199788077
2009-3-18,1.661243085,5105.0,3.707995746,2.706003905,8315.55,3.919890979,10.07139603,30949.4,4.490652234,0.557849007,1714.27,3.234079225
2009-3-19,1.624455417,5593.0,3.747644819,2.629186756,9052.29,3.956758459,9.851521929,33918.79,4.530440351,0.559657276,1926.9,3.284859177
2009-3-20,1.666395664,6149.0,3.788804493,2.707891599,9992.12,3.999657641,9.972853659,36799.83,4.565845812,0.493493225,1820.99,3.260307561
2009-3-21,1.783119061,6380.0,3.804820679,2.719533259,9730.49,3.988134711,9.848351034,35237.4,4.547003856,0.492705422,1762.9,3.246227678
2009-3-22,1.776184123,5325.0,3.726319612,2.994326217,8976.99,3.953130741,10.28218813,30826.0,4.488917174,0.541197465,1622.51,3.210187382
2009-3-23,1.586926287,4564.0,3.659345636,2.673560501,7689.16,3.885878898,9.654485396,27766.3,4.443518012,0.542200974,1559.37,3.192949175
2009-3-24,1.650878294,5263.0,3.72123337,2.539178168,8094.9,3.908211488,9.474309912,30204.1,4.480065899,0.49543601,1579.45,3.198505882
2009-3-25,1.637297634,5259.0,3.720903171,2.828225405,9084.26,3.958289556,10.1994396,32760.6,4.515351847,0.612328767,1966.8,3.2937602
2009-3-26,1.64518876,5796.0,3.763128377,2.591004825,9128.11,3.960380865,9.725007096,34261.2,4.53480257,0.560178825,1973.51,3.295239331
2009-3-27,1.663721701,6026.0,3.780029127,2.763953617,10011.04,4.000479197,10.27319161,37209.5,4.570653834,0.551200994,1996.45,3.300258438
2009-3-28,1.788391096,6347.0,3.802568498,2.665810087,9460.96,3.975935206,9.734263173,34546.9,4.538409083,0.44653987,1584.77,3.199966241
2009-3-29,1.773081925,5454.0,3.736715134,2.954245774,9087.26,3.958432954,10.16297139,31261.3,4.495007034,0.525513654,1616.48,3.208570336
2009-3-30,1.628862479,4797.0,3.680969718,2.813144312,8284.71,3.918277311,10.11672666,29793.76,4.474125315,0.611093379,1799.67,3.255192877
2009-3-31,1.589190878,5087.0,3.706461738,2.479912527,7938.2,3.899722037,9.467347704,30304.98,4.481514002,0.505798188,1619.06,3.209262943
2009-4-1,1.526216522,4046.0,3.607025878,2.425778951,6430.74,3.808260951,9.301357978,24657.9,4.391956087,0.521980385,1383.77,3.141063911
2009-4-2,1.61161631,5494.0,3.739888655,2.77301848,9453.22,3.975579765,10.28345263,35056.29,4.544765953,0.571578175,1948.51,3.289702639
2009-4-3,1.671073506,6320.0,3.800717078,2.527355896,9558.46,3.980387927,9.874508197,37345.39,4.572236999,0.548006346,2072.56,3.316507112
2009-4-4,1.805282237,6972.0,3.843357378,2.750662869,10623.06,4.026249634,9.903366132,38246.8,4.582595105,0.46344899,1789.84,3.25281421
2009-4-5,1.811496468,5641.0,3.7513561,2.940276172,9156.02,3.961706733,10.29550417,32060.2,4.505966227,0.490372511,1527.02,3.183844725
2009-4-6,1.606785137,4973.0,3.696618459,2.571634895,7959.21,3.900869964,9.682549273,29967.49,4.476650369,0.518807754,1605.71,3.205667112
2009-4-7,1.686622744,5888.0,3.769967801,2.486553996,8680.56,3.938547743,9.537868805,33296.7,4.522401193,0.496313377,1732.63,3.23870583
2009-4-8,1.668442866,5636.0,3.750970984,2.541823564,8586.28,3.933805047,9.817267614,33162.73,4.520650275,0.516237419,1743.85,3.241509126
2009-4-9,1.692581602,5704.0,3.756179517,2.723041543,9176.65,3.962684168,10.22436202,34456.1,4.537266119,0.591335312,1992.8,3.299463715
2009-4-10,1.743597561,5719.0,3.757320097,2.725902439,8940.96,3.951384152,9.908231707,32499.0,4.511869998,0.49304878,1617.2,3.208763733
2009-4-11,1.813212511,6203.0,3.792601781,2.499152295,8549.6,3.931945796,9.249693072,31643.2,4.500280396,0.430722011,1473.5,3.16835014
2009-4-12,1.846288515,5273.0,3.722057771,2.984439776,8523.56,3.930621023,10.22286415,29196.5,4.465330792,0.491197479,1402.86,3.147014332
2009-4-13,1.670783345,4735.0,3.675319983,2.835003529,8034.4,3.90495345,10.07381793,28549.2,4.455593943,0.520112915,1474.0,3.168497484
2009-4-14,1.67388724,5641.0,3.7513561,2.501421365,8429.79,3.925816756,9.303709199,31353.5,4.496286028,0.488866469,1647.48,3.216820151
2009-4-15,1.623291572,5701.0,3.755951041,2.698274487,9476.34,3.976640634,9.881264237,34703.0,4.54036702,0.546207289,1918.28,3.282911999
2009-4-16,1.664922907,6047.0,3.781539969,2.690490088,9771.86,3.989977236,9.825203744,35685.14,4.552487405,0.538524229,1955.92,3.291351088
2009-4-17,1.685840708,6096.0,3.785044958,2.681786504,9697.34,3.986652623,9.961142146,36019.49,4.556537559,0.526745022,1904.71,3.279828862
2009-4-18,1.802631579,6439.0,3.808818425,2.783216685,9941.65,3.99745847,10.01660134,35779.3,4.55363184,0.466455767,1666.18,3.221721917
2009-4-19,1.77464332,5473.0,3.738225448,3.035946822,9362.86,3.97140853,10.24357977,31591.2,4.499566123,0.560920882,1729.88,3.238015978
2009-4-20,1.594643944,5240.0,3.719331287,2.48178028,8155.13,3.911430888,9.346713329,30713.3,4.487326482,0.52278454,1717.87,3.234990295
2009-4-21,1.626815981,5375.0,3.730378469,2.552893462,8434.76,3.92607273,9.470883777,31291.8,4.495430546,0.519134383,1715.22,3.234319832
2009-4-22,1.621080139,5583.0,3.746867628,2.574227642,8865.64,3.947710092,9.672081882,33310.65,4.522583107,0.577325784,1988.31,3.298484097
2009-4-23,1.631451613,6069.0,3.783117137,2.640776882,9823.69,3.992274649,9.764798387,36325.05,4.560206221,0.56019086,2083.91,3.318878959
2009-4-24,1.701912859,6406.0,3.806586934,2.654415515,9991.22,3.999618522,10.09872476,38011.6,4.57991615,0.555674814,2091.56,3.320470328
2009-4-25,1.845843422,6861.0,3.836387419,2.704678504,10053.29,4.002308211,9.980928168,37099.11,4.569363491,0.48354049,1797.32,3.254625407
2009-4-26,1.775549188,5577.0,3.746400644,3.090585801,9707.53,3.987108741,10.66659663,33503.78,4.525093808,0.541684177,1701.43,3.230814086
2009-4-27,1.449289564,2958.0,3.47099817,2.882312592,5882.8,3.769584084,10.03395394,20479.3,4.311315108,0.554056835,1130.83,3.053397321
2009-4-28,1.640615385,5332.0,3.726890141,2.581393846,8389.53,3.923737631,9.600892308,31202.9,4.494194959,0.540633846,1757.06,3.244786592
2009-4-29,1.622065728,5528.0,3.742568034,2.705340376,9219.8,3.9647215,9.902699531,33748.4,4.528253188,0.582461854,1985.03,3.297767075
2009-4-30,1.619326093,5815.0,3.764549719,2.727983849,9796.19,3.9910572,10.04040657,36055.1,4.556966704,0.575062657,2065.05,3.314930571
2009-5-1,1.643910431,6020.0,3.779596491,2.646223375,9690.47,3.986344841,9.903154014,36265.35,4.559491873,0.53894047,1973.6,3.295259136
2009-5-2,1.809293044,6347.0,3.802568498,2.636984036,9250.54,3.966167085,9.596465222,33664.4,4.527170878,0.507978905,1781.99,3.250905263
2009-5-3,1.81371932,5764.0,3.760723972,2.896900566,9206.35,3.964087482,9.971302706,31688.8,4.500905794,0.568750787,1807.49,3.257075903
2009-5-4,1.589826143,4938.0,3.693551086,2.7663651,8592.33,3.934110948,9.946909208,30895.1,4.489889605,0.565640695,1756.88,3.244742099
2009-5-5,1.599717514,5663.0,3.753046562,2.465460452,8727.73,3.940901303,9.462090395,33495.8,4.524990355,0.576754237,2041.71,3.309994056
2009-5-6,1.647008302,5753.0,3.759894374,2.620334956,9152.83,3.961555396,9.689613513,33845.82,4.52950504,0.566341254,1978.23,3.296276784
2009-5-7,1.59662237,5767.0,3.760949951,2.629903101,9499.21,3.977687489,9.976370432,36034.65,4.556720308,0.630786268,2278.4,3.357629972
2009-5-8,1.670411985,5798.0,3.763278211,2.720864304,9444.12,3.975161497,9.918611351,34427.5,4.536905487,0.53590896,1860.14,3.269545632
2009-5-9,1.74468731,5747.0,3.759441197,2.714653916,8942.07,3.951438065,9.749013358,32113.25,4.50668426,0.500613236,1649.02,3.217225923
2009-5-10,1.77951968,5335.0,3.727134424,3.063495664,9184.36,3.963048898,10.51811207,31533.3,4.498769423,0.535757171,1606.2,3.205799622
2009-5-11,1.681802779,4963.0,3.695744275,2.792765164,8241.45,3.916003628,9.965943748,29409.5,4.468487641,0.572558455,1689.62,3.227789042
2009-5-12,1.627028714,5213.0,3.717087725,2.657652934,8515.12,3.930190773,10.05586767,32219.0,4.508112057,0.578439451,1853.32,3.267950412
2009-5-13,1.627521831,5405.0,3.732795698,2.556699789,8490.8,3.928948611,9.635742246,32000.3,4.50515405,0.583517013,1937.86,3.287322398
2009-5-14,1.664135021,5916.0,3.772028165,2.637918425,9377.8,3.972100966,9.933797468,35314.65,4.547954906,0.600005626,2133.02,3.328994928
2009-5-15,1.688377316,6014.0,3.779163424,2.751911847,9802.31,3.991328433,10.248484,36505.1,4.562353542,0.563787198,2008.21,3.302809125
2009-5-16,1.813745308,6281.0,3.798028793,2.849052844,9866.27,3.994152996,10.24094716,35464.4,4.549792617,0.519203003,1798.0,3.254789687
2009-5-17,1.77831248,5543.0,3.743744879,3.09707411,9653.58,3.9846884,10.56730831,32938.3,4.517701181,0.577192814,1799.11,3.255057718
2009-5-18,1.679530719,5440.0,3.7355989,2.781969744,9010.8,3.95476335,9.863707935,31948.55,4.504451152,0.526146959,1704.19,3.231518013
2009-5-19,1.621175765,5405.0,3.732795698,2.745734853,9154.28,3.961624192,10.06640672,33561.4,4.525840069,0.565782843,1886.32,3.275615369
2009-5-20,1.674839463,5738.0,3.758760544,2.719819031,9318.1,3.969327367,10.33984238,35424.3,4.549301277,0.647463514,2218.21,3.346002659
2009-5-21,1.634514817,5626.0,3.750199728,2.744947705,9448.11,3.975344941,10.23598199,35232.25,4.546940379,0.643936665,2216.43,3.34565402
2009-5-22,1.743824337,5718.0,3.757244151,2.770646539,9084.95,3.958322541,9.966483684,32680.1,4.514283377,0.544800244,1786.4,3.25197871
2009-5-23,1.804418689,4982.0,3.697403723,2.830431003,7814.82,3.892918979,10.02194857,27670.6,4.442018576,0.453788482,1252.91,3.097919876
2009-5-24,1.858538658,4375.0,3.640978057,3.054188615,7189.56,3.856702312,10.15709431,23909.8,4.378575943,0.465730671,1096.33,3.039941298
2009-5-25,1.681843732,2992.0,3.475961589,3.317903316,5902.55,3.771039675,10.52344013,18721.2,4.272333683,0.56296796,1001.52,3.000659626
2009-5-26,1.625206748,4913.0,3.691346764,2.718663579,8218.52,3.914793616,9.847039365,29767.6,4.473743821,0.560043004,1693.01,3.228659523
2009-5-27,1.598113782,5253.0,3.720407401,2.598548829,8541.43,3.931530586,9.766696075,32103.13,4.506547377,0.535576514,1760.44,3.245621228
2009-5-28,1.654373928,5787.0,3.762453482,2.603759291,9107.95,3.959420638,9.89193825,34602.0,4.539101202,0.618747856,2164.38,3.335333512
2009-5-29,1.682457651,5860.0,3.767897616,2.562078668,8923.72,3.950545935,9.479931094,33018.6,4.518758655,0.499098478,1738.36,3.24013972
2009-5-30,1.781419122,5925.0,3.772688355,2.779570054,9244.85,3.965899869,9.850150331,32761.6,4.515365104,0.509546001,1694.75,3.229105643
2009-5-31,1.790469262,4922.0,3.692141609,3.077631866,8460.41,3.92739141,10.57973809,29083.7,4.463649656,0.599079665,1646.87,3.216659318
2009-6-1,1.599090565,4220.0,3.625312451,2.778112922,7331.44,3.865189285,9.922205381,26184.7,4.418047603,0.544206139,1436.16,3.157202827
2009-6-2,1.605129735,5382.0,3.730943693,2.560369818,8584.92,3.933736252,9.714762899,32573.6,4.512865759,0.532740829,1786.28,3.251949536
2009-6-3,1.600503215,5725.0,3.757775491,2.622873917,9382.02,3.972296354,9.735840089,34825.1,4.541892372,0.585591278,2094.66,3.321113539
2009-6-4,1.643227037,6029.0,3.780245284,2.675429272,9816.15,3.991941186,10.00952576,36724.95,4.564961213,0.632553829,2320.84,3.365645201
2009-6-5,1.734196891,6694.0,3.825685708,2.483559585,9586.54,3.981661889,9.645984456,37233.5,4.570933862,0.545316062,2104.92,3.323235595
2009-6-6,1.789090909,5904.0,3.771146349,2.715078788,8959.76,3.952296377,9.652363636,31852.8,4.503147615,0.487378788,1608.35,3.206380563
2009-6-7,1.792042795,5360.0,3.72916479,3.149227683,9419.34,3.974020473,10.55591775,31572.75,4.499312411,0.554470077,1658.42,3.219694527
2009-6-8,1.621370067,4355.0,3.638988159,2.717769918,7299.93,3.863318696,9.603164557,25794.1,4.411520379,0.561861504,1509.16,3.178735286
2009-6-9,1.647963543,5786.0,3.762378429,2.586106522,9079.82,3.958077239,9.763058958,34278.1,4.535016741,0.564616918,1982.37,3.297184717
2009-6-10,1.608033241,5805.0,3.763802224,2.570598338,9279.86,3.967541424,9.900603878,35741.18,4.553168887,0.601310249,2170.73,3.336605808
2009-6-11,1.643532271,6086.0,3.784331948,2.634396435,9755.17,3.989234842,9.947799082,36836.7,4.566280717,0.617855793,2287.92,3.359440835
2009-6-12,1.657638137,6120.0,3.786751422,2.74716143,10142.52,4.006145873,10.09359426,37265.55,4.571307535,0.615994041,2274.25,3.356838203
